Customer ID,recency,frequency,monetary,segment
12346,165,11,372.86,cant_loose
12347,3,2,1323.32,potential_loyalists
12348,74,1,222.16,hibernating
12349,43,3,2671.1400000000003,about_to_sleep
12351,11,1,300.93,new_customers
12352,11,2,343.79999999999995,potential_loyalists
12353,44,1,317.75999999999993,need_attention
12355,203,1,488.21,hibernating
12356,16,3,3562.2499999999995,potential_loyalists
12357,24,2,12079.990000000002,potential_loyalists
12358,11,3,2719.01,potential_loyalists
12359,61,6,2563.36,loyal_customers
12360,15,5,1590.83,champions
12361,98,3,321.35,at_Risk
12362,374,1,130.0,hibernating
12366,269,1,500.24,hibernating
12368,264,1,917.6999999999999,hibernating
12369,49,3,1791.1499999999999,about_to_sleep
12370,260,3,774.62,at_Risk
12371,45,3,2179.42,about_to_sleep
12373,260,2,763.0500000000001,hibernating
12374,57,3,2246.29,about_to_sleep
12376,25,2,503.15000000000003,potential_loyalists
12377,17,2,1798.2,potential_loyalists
12378,198,1,1407.7,hibernating
12379,58,2,767.98,need_attention
12380,101,7,6951.49,cant_loose
12385,15,1,1938.3999999999999,new_customers
12386,2,1,258.9,new_customers
12387,51,1,143.94,need_attention
12388,81,2,1120.45,hibernating
12389,38,3,1433.33,about_to_sleep
12391,100,5,2312.5299999999997,at_Risk
12392,227,1,234.75000000000003,hibernating
12393,18,2,816.8500000000001,potential_loyalists
12395,7,4,2048.6400000000003,champions
12396,310,1,931.4300000000001,hibernating
12399,21,3,853.65,potential_loyalists
12400,50,1,205.25,need_attention
12402,28,5,1031.3000000000002,loyal_customers
12403,157,1,591.6600000000001,hibernating
12404,318,1,63.24,hibernating
12406,35,3,2975.0599999999995,potential_loyalists
12408,21,3,1452.2199999999998,potential_loyalists
12409,56,4,12346.619999999999,loyal_customers
12410,138,1,320.38,hibernating
12411,45,1,346.9,need_attention
12412,38,3,1370.0500000000002,about_to_sleep
12413,38,1,241.35,need_attention
12414,99,3,390.0,at_Risk
12415,11,7,19543.84,champions
12416,292,1,202.56,hibernating
12417,46,11,3167.81,loyal_customers
12418,49,3,1352.62,about_to_sleep
12419,21,2,503.01,potential_loyalists
12421,51,2,291.56,need_attention
12422,30,14,4428.24,loyal_customers
12423,23,2,763.08,potential_loyalists
12424,58,2,1579.0700000000006,need_attention
12425,84,1,964.2099999999999,hibernating
12426,298,1,762.4800000000002,hibernating
12427,7,1,303.5,new_customers
12429,1,5,3735.5099999999998,champions
12431,9,13,4370.52,champions
12433,2,5,7205.389999999999,champions
12434,17,1,297.29,promising
12435,32,4,6096.040000000001,loyal_customers
12437,31,21,7731.99,loyal_customers
12439,318,2,1158.18,hibernating
12440,98,2,859.1999999999999,hibernating
12441,2,1,173.55,new_customers
12443,368,1,485.31,hibernating
12445,56,1,301.58000000000004,need_attention
12449,46,2,768.6,need_attention
12450,35,3,490.32,potential_loyalists
12451,99,3,3634.3599999999997,at_Risk
12454,31,4,13151.439999999999,loyal_customers
12455,81,4,3413.09,at_Risk
12457,71,1,632.68,need_attention
12458,63,2,830.09,need_attention
12459,241,1,454.3599999999999,hibernating
12460,92,1,326.65,hibernating
12466,318,1,56.73,hibernating
12467,59,1,132.8,need_attention
12468,162,3,2941.2,at_Risk
12469,158,2,3070.54,hibernating
12470,325,1,211.95,hibernating
12471,10,49,20139.739999999998,champions
12472,5,13,11308.48,champions
12474,14,13,5048.66,champions
12475,45,1,426.26,need_attention
12476,32,12,7298.99,loyal_customers
12477,35,3,7056.629999999999,potential_loyalists
12480,35,3,2183.2200000000003,potential_loyalists
12481,1,6,6765.07,champions
12482,212,29,23691.4,cant_loose
12483,14,11,2635.6000000000004,champions
12484,119,6,1828.4299999999998,at_Risk
12485,165,1,708.1000000000001,hibernating
12486,67,1,1037.2800000000002,need_attention
12487,366,1,285.29999999999995,hibernating
12490,14,11,4405.709999999999,champions
12492,39,1,452.00000000000006,need_attention
12494,1,3,626.77,potential_loyalists
12495,276,1,357.4,hibernating
12496,256,2,54.09,hibernating
12497,36,2,5205.400000000001,potential_loyalists
12499,196,1,393.71999999999997,hibernating
12500,71,8,1697.39,loyal_customers
12503,220,1,1126.0,hibernating
12504,53,2,297.00000000000006,need_attention
12505,44,1,955.1999999999999,need_attention
12507,220,1,539.25,hibernating
12510,95,7,4195.450000000001,cant_loose
12511,64,1,3084.0200000000004,need_attention
12514,277,1,580.0799999999999,hibernating
12516,66,2,1336.56,need_attention
12519,112,1,385.7,hibernating
12523,10,12,2582.38,champions
12524,24,9,6640.389999999999,loyal_customers
12525,134,3,973.7300000000001,at_Risk
12527,130,2,386.8,hibernating
12529,164,1,316.47999999999996,hibernating
12530,51,5,2096.98,loyal_customers
12531,322,1,1807.9799999999996,hibernating
12533,263,2,1367.89,hibernating
12537,44,1,732.94,need_attention
12538,14,1,276.5,new_customers
12539,86,3,5646.4,at_Risk
12540,14,16,8854.25,champions
12542,120,2,481.88,hibernating
12543,84,1,980.25,hibernating
